name,20082009g,20082009p,20082009i,20082010g,20082010p,20082010i,20082011g,20082011p,20082011i,20082012g,20082012p,20082012i,20082013g,20082013p,20082013i,20092008g,20092008p,20092008i,20092010g,20092010p,20092010i,20092011g,20092011p,20092011i,20092012g,20092012p,20092012i,20092013g,20092013p,20092013i,20102008g,20102008p,20102008i,20102009g,20102009p,20102009i,20102011g,20102011p,20102011i,20102012g,20102012p,20102012i,20102013g,20102013p,20102013i,20112008g,20112008p,20112008i,20112009g,20112009p,20112009i,20112010g,20112010p,20112010i,20112012g,20112012p,20112012i,20112013g,20112013p,20112013i,20122008g,20122008p,20122008i,20122009g,20122009p,20122009i,20122010g,20122010p,20122010i,20122011g,20122011p,20122011i,20122013g,20122013p,20122013i,20132008g,20132008p,20132008i,20132009g,20132009p,20132009i,20132010g,20132010p,20132010i,20132011g,20132011p,20132011i,20132012g,20132012p,20132012i
"Weaver,Jered",0.843433234276,0.671402025055,0.795585360742,0.737650279769,0.483427700831,0.742512063513,0.743824234613,0.685273075451,0.598933487647,0.751853594512,0.668623850922,0.556734019937,0.805039438675,0.680742548969,0.73994404027,0.77469960043,0.773215279555,0.732650986721,0.735541952647,0.713204862437,0.742512063513,0.739650034602,0.758413068705,0.598933487647,0.943862277004,0.587888720678,0.556734019937,0.65211739905,0.790174665233,0.73994404027,0.77469960043,0.763354329724,0.732650986721,0.847224788769,0.83676066403,0.795585360742,0.739650034602,0.711696530205,0.598933487647,0.943862277004,0.633450666551,0.556734019937,0.65211739905,0.741718183449,0.73994404027,0.77469960043,0.773215279555,0.732650986721,0.847224788769,0.900856894492,0.795585360742,0.735541952647,0.713204862437,0.742512063513,0.943862277004,0.587888720678,0.556734019937,0.65211739905,0.790174665233,0.73994404027,0.77469960043,0.750904139612,0.732650986721,0.847224788769,0.805690407775,0.795585360742,0.735541952647,0.710261716386,0.742512063513,0.739650034602,0.685185387445,0.598933487647,0.65211739905,0.701175937132,0.73994404027,0.77469960043,0.755235208955,0.732650986721,0.847224788769,0.801898853282,0.795585360742,0.735541952647,0.712370043507,0.742512063513,0.739650034602,0.689359587456,0.598933487647,0.943862277004,0.785987515054,0.556734019937
"Kershaw,Clayton",0.843683432918,0.382437789701,0.661343800949,0.765327528141,0.556932787284,0.67042619083,0.816854959091,0.550781476884,0.672188949646,0.810780585974,0.547822063448,0.68561987262,0.724669129864,0.377812644254,0.681419837171,1.14535671717,1.14535671717,0.771677617448,0.699362245374,0.699362245374,0.67042619083,0.718613313893,0.718613313893,0.672188949646,0.845344786273,0.845344786273,0.68561987262,0.587998878209,0.587998878209,0.681419837171,1.14535671717,0.809311045742,0.771677617448,0.893459341258,0.843683432918,0.661343800949,0.718613313893,0.816854959091,0.672188949646,0.845344786273,0.810780585974,0.68561987262,0.587998878209,0.724669129864,0.681419837171,1.14535671717,0.809311045742,0.771677617448,0.893459341258,0.843683432918,0.661343800949,0.699362245374,0.765327528141,0.67042619083,0.845344786273,0.810780585974,0.68561987262,0.587998878209,0.724669129864,0.681419837171,1.14535671717,1.14535671717,0.771677617448,0.893459341258,0.893459341258,0.661343800949,0.699362245374,0.699362245374,0.67042619083,0.718613313893,0.718613313893,0.672188949646,0.587998878209,0.587998878209,0.681419837171,1.14535671717,0.773161772042,0.771677617448,0.893459341258,0.721925843624,0.661343800949,0.699362245374,0.688301701012,0.67042619083,0.718613313893,0.778743901266,0.672188949646,0.845344786273,0.758592520553,0.68561987262
"Carpenter,Chris",0.762810242603,0.529122106026,0.633077212577,0.768845455774,0.799107691253,0.723222990476,0.808624727728,0.707696578493,0.621444208647,0.814916033058,1.25922093664,0.901404033058,,,,0.950031844539,0.738391554532,0.685603676193,0.989795099561,0.789255608538,0.723222990476,1.11706621506,1.08362047069,0.621444208647,0.654916033058,0.456666033058,0.901404033058,,,,0.950031844539,1.31157660093,0.685603676193,0.92115873035,0.7629537145,0.633077212577,1.11706621506,1.15479512332,0.621444208647,0.654916033058,0.463096286501,0.901404033058,,,,0.950031844539,1.31157660093,0.685603676193,0.92115873035,0.7629537145,0.633077212577,0.989795099561,1.10008585181,0.723222990476,0.654916033058,0.463096286501,0.901404033058,,,,0.950031844539,1.02440828402,0.685603676193,0.92115873035,0.549523342531,0.633077212577,0.989795099561,0.692903223045,0.723222990476,1.11706621506,0.581914143392,0.621444208647,,,,0.950031844539,,0.685603676193,0.92115873035,,0.633077212577,0.989795099561,,0.723222990476,1.11706621506,,0.621444208647,0.654916033058,,0.901404033058
"Garza,Matt",0.792720229779,0.792720229779,0.628060455521,0.804418559042,0.804418559042,0.659474468864,0.846880184877,0.846880184877,0.819585424117,0.789459197833,0.789459197833,0.715452802644,0.826020435443,0.826020435443,0.895785372146,0.764816212611,0.639599633489,0.625524469807,0.793398348723,0.845600964247,0.659474468864,0.762322376694,0.849595471725,0.819585424117,0.666740276062,0.68721012592,0.715452802644,0.676049168558,0.738882284234,0.895785372146,0.764816212611,0.623985231311,0.625524469807,0.758900702101,0.748440603002,0.628060455521,0.762322376694,0.489480171704,0.819585424117,0.666740276062,0.449867400505,0.715452802644,0.676049168558,0.401013223768,0.895785372146,0.764816212611,0.602655690079,0.625524469807,0.758900702101,0.709272336368,0.628060455521,0.793398348723,0.673984437074,0.659474468864,0.666740276062,0.743395231781,0.715452802644,0.676049168558,0.766397347962,0.895785372146,0.764816212611,0.62150577997,0.625524469807,0.758900702101,0.596967388294,0.628060455521,0.793398348723,0.699944747765,0.659474468864,0.762322376694,0.688111852159,0.819585424117,0.676049168558,0.587242895607,0.895785372146,0.764816212611,0.620573231692,0.625524469807,0.758900702101,0.613490956129,0.628060455521,0.793398348723,0.635218993626,0.659474468864,0.762322376694,0.782178620981,0.819585424117,0.666740276062,0.709900612696,0.715452802644
"Wainwright,Adam",0.706410360102,0.662387957713,0.698351516942,0.736053284238,0.609825965563,0.597279830484,,,,0.766273042391,0.825815344384,0.77172753992,0.627595032303,0.593605147371,0.657531398386,0.5959322784,0.403804405303,0.63820846221,0.728090084239,0.698617287249,0.597279830484,,,,0.629828869158,0.421184292642,0.77172753992,0.544445558501,0.471023658244,0.657531398386,0.5959322784,0.632791464343,0.63820846221,0.757264429526,0.674643960183,0.698351516942,,,,0.629828869158,0.690254348268,0.77172753992,0.544445558501,0.528674422409,0.657531398386,0.5959322784,,0.63820846221,0.757264429526,,0.698351516942,0.728090084239,,0.597279830484,0.629828869158,,0.77172753992,0.544445558501,,0.657531398386,0.5959322784,0.907545220571,0.63820846221,0.757264429526,0.69575877177,0.698351516942,0.728090084239,0.654703480214,0.597279830484,,,,0.544445558501,0.559314377657,0.657531398386,0.5959322784,0.607145000351,0.63820846221,0.757264429526,0.523441474595,0.698351516942,0.728090084239,0.458024860967,0.597279830484,,,,0.629828869158,0.622432532008,0.77172753992
"Jimenez,Ubaldo",0.793837470721,0.742542330116,0.739259358074,0.815252684108,0.7280216724,0.717477882199,0.826512400549,0.78495364146,0.846869242644,0.857776578332,0.831015718351,0.758317181544,0.791744525803,0.810523407743,0.719392723149,0.700172370355,0.847486754262,0.767327983023,0.665527975083,0.752360269782,0.717477882199,1.04043143389,0.811196990962,0.846869242644,0.809904192566,0.788946995737,0.758317181544,0.711966240302,0.809497801791,0.719392723149,0.700172370355,0.906710280902,0.767327983023,0.715849004668,0.699390246317,0.739259358074,1.04043143389,0.794781080142,0.846869242644,0.809904192566,0.81311699003,0.758317181544,0.711966240302,0.6586281788,0.719392723149,0.700172370355,0.607523759397,0.767327983023,0.715849004668,0.64544952075,0.739259358074,0.665527975083,0.629121648407,0.717477882199,0.809904192566,0.773520580918,0.758317181544,0.711966240302,0.609209062038,0.719392723149,0.700172370355,0.630481597871,0.767327983023,0.715849004668,0.6112207913,0.739259358074,0.665527975083,0.606682965157,0.717477882199,1.04043143389,0.676136309031,0.846869242644,0.711966240302,0.608470514062,0.719392723149,0.700172370355,0.951779445366,0.767327983023,0.715849004668,0.742542330116,0.739259358074,0.665527975083,0.7280216724,0.717477882199,1.04043143389,0.78495364146,0.846869242644,0.809904192566,0.831015718351,0.758317181544
"Cain,Matt",0.783372272041,0.902138397119,0.766808456644,0.811165822912,0.607143485199,0.671000735478,0.884539731432,0.8498780837,0.722547849274,0.732069580911,0.850678945814,0.75015489327,0.801351407769,0.750552543016,0.733607929623,0.899609582248,0.75871411659,0.850322298877,0.715962216284,0.584438852641,0.671000735478,0.92864406047,0.508472851473,0.722547849274,0.874739757821,0.696953704891,0.75015489327,0.793569516558,0.730892653376,0.733607929623,0.899609582248,0.723716016,0.850322298877,0.868220748619,0.76602877085,0.766808456644,0.92864406047,0.70243208274,0.722547849274,0.874739757821,0.60255910997,0.75015489327,0.793569516558,0.690490696496,0.733607929623,0.899609582248,0.899609582248,0.850322298877,0.868220748619,0.868220748619,0.766808456644,0.715962216284,0.715962216284,0.671000735478,0.874739757821,0.874739757821,0.75015489327,0.793569516558,0.793569516558,0.733607929623,0.899609582248,0.899609582248,0.850322298877,0.868220748619,0.868220748619,0.766808456644,0.715962216284,0.715962216284,0.671000735478,0.92864406047,0.92864406047,0.722547849274,0.793569516558,0.793569516558,0.733607929623,0.899609582248,0.800784606757,0.850322298877,0.868220748619,0.799191476643,0.766808456644,0.715962216284,0.516024919275,0.671000735478,0.92864406047,0.918370210669,0.722547849274,0.874739757821,0.738373219639,0.75015489327
"Sanchez,Jonathan",0.853722457507,0.853722457507,0.828333985565,0.803437812487,0.803437812487,0.673931195204,0.854725803009,0.854725803009,0.679101523702,0.957676538806,0.957676538806,0.828499932081,0.889165170992,0.889165170992,1.04934528076,0.717328711261,0.566218009756,0.771877129304,0.984575491195,0.8998461348,0.673931195204,0.758823971126,0.493843417628,0.679101523702,0.709878367589,0.596266164335,0.828499932081,0.667368744442,1.28948605384,1.04934528076,0.717328711261,0.67134734639,0.771877129304,1.10832531055,1.18105465976,0.828333985565,0.758823971126,0.770959679396,0.679101523702,0.709878367589,0.603175072118,0.828499932081,0.667368744442,0.705304511278,1.04934528076,0.717328711261,0.824355528962,0.771877129304,1.10832531055,0.943516274091,0.828333985565,0.984575491195,0.95812478947,0.673931195204,0.709878367589,0.819749605456,0.828499932081,0.667368744442,0.963207332848,1.04934528076,0.717328711261,0.834706176336,0.771877129304,1.10832531055,0.809847158606,0.828333985565,0.984575491195,0.786393914263,0.673931195204,0.758823971126,0.797740092103,0.679101523702,0.667368744442,1.19766666667,1.04934528076,0.717328711261,0.660798041631,0.771877129304,1.10832531055,0.828777738826,0.828333985565,0.984575491195,0.602501885406,0.673931195204,0.758823971126,0.583775629284,0.679101523702,0.709878367589,1.19182203917,0.828499932081
"Oswalt,Roy",0.738902095514,0.625365532561,0.728074223762,0.818462767201,0.764361069992,0.743533131375,0.855686910535,0.955019275107,0.764699070425,0.891096229213,0.731129212103,0.93819901383,0.896228388734,0.852281674388,0.832209639043,0.800770705966,0.68281545775,0.783447870309,0.699562725375,0.675867362092,0.743533131375,0.855210702368,0.807509906348,0.764699070425,0.731129212103,0.886584397907,0.93819901383,0.767458853185,1.03565415623,0.832209639043,0.800770705966,1.12609868568,0.783447870309,0.730153892499,0.649079411447,0.728074223762,0.855210702368,0.954054159888,0.764699070425,0.731129212103,0.891096229213,0.93819901383,0.767458853185,0.991352772781,0.832209639043,0.800770705966,1.04524031114,0.783447870309,0.730153892499,0.700674596459,0.728074223762,0.699562725375,0.830638616385,0.743533131375,0.731129212103,0.838467220415,0.93819901383,0.767458853185,0.94185928201,0.832209639043,0.800770705966,0.766713336872,0.783447870309,0.730153892499,0.725047320335,0.728074223762,0.699562725375,0.645209093249,0.743533131375,0.855210702368,0.796900651194,0.764699070425,0.767458853185,0.858997721346,0.832209639043,0.800770705966,0.716467442841,0.783447870309,0.730153892499,0.68266955104,0.728074223762,0.699562725375,0.56477460939,0.743533131375,0.855210702368,0.718883927752,0.764699070425,0.731129212103,0.857478067379,0.93819901383
"Verlander,Justin",0.774501172862,0.771457086246,0.756441221011,0.777867237199,0.769563857601,0.687286594922,0.717700541288,0.67235361877,0.643253102555,0.767482152937,0.757638759355,0.635403804442,0.821577470604,0.662629591204,0.835946303064,0.808315362916,0.803401851126,0.739879395986,0.772368299937,0.729968504757,0.687286594922,0.720495310024,0.683255137429,0.643253102555,0.761514808368,0.744049672143,0.635403804442,0.819407569135,0.850642893591,0.835946303064,0.808315362916,0.916334473933,0.739879395986,0.770536940134,0.78294669812,0.756441221011,0.720495310024,0.687417982464,0.643253102555,0.761514808368,0.749233306029,0.635403804442,0.819407569135,0.779897018932,0.835946303064,0.808315362916,0.808315362916,0.739879395986,0.770536940134,0.770536940134,0.756441221011,0.772368299937,0.772368299937,0.687286594922,0.761514808368,0.761514808368,0.635403804442,0.819407569135,0.819407569135,0.835946303064,0.808315362916,0.959675282067,0.739879395986,0.770536940134,0.761343942888,0.756441221011,0.772368299937,0.736911126953,0.687286594922,0.720495310024,0.699149370885,0.643253102555,0.819407569135,0.68821779406,0.835946303064,0.808315362916,0.803401851126,0.739879395986,0.770536940134,0.802106751178,0.756441221011,0.772368299937,0.729968504757,0.687286594922,0.720495310024,0.683255137429,0.643253102555,0.761514808368,0.744049672143,0.635403804442
